0.001982159415607075
         12408993 function calls (12406377 primitive calls) in 4.465 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      239    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      173    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:790(__init__)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:824(cached)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:842(parent)
      142    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:850(has_location)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      165    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:92(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:5(Match)
        1    0.000    0.000    0.000    0.000 <string>:5(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:5(TokenInfo)
        1    0.000    0.000    0.000    0.000 <string>:5(_LoggingWatcher)
        1    0.000    0.000    0.000    0.000 <string>:5(usage)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:202(DibImageFile)
        1    0.000    0.000    0.001    0.001 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:56(_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:63(BmpImageFile)
        1    0.000    0.000    0.001    0.001 GifImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:44(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:52(GifImageFile)
       18    0.000    0.000    0.000    0.000 Image.py:1133(getdata)
        1    0.000    0.000    0.012    0.012 Image.py:1632(save)
        1    0.000    0.000    0.000    0.000 Image.py:1966(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:2002(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2007(ImageTransformHandler)
       34    0.000    0.000    0.017    0.001 Image.py:2024(new)
        1    0.000    0.000    0.000    0.000 Image.py:2250(_decompression_bomb_check)
        1    0.000    0.000    0.006    0.006 Image.py:2264(open)
        6    0.000    0.000    0.000    0.000 Image.py:2436(register_open)
        5    0.000    0.000    0.000    0.000 Image.py:2451(register_mime)
        6    0.000    0.000    0.000    0.000 Image.py:2462(register_save)
        1    0.000    0.000    0.000    0.000 Image.py:2473(register_save_all)
       12    0.000    0.000    0.000    0.000 Image.py:2485(register_extension)
        1    0.000    0.000    0.002    0.002 Image.py:27(<module>)
       34    0.000    0.000    0.000    0.000 Image.py:287(getmodebase)
        1    0.000    0.000    0.000    0.000 Image.py:34(DecompressionBombWarning)
        2    0.000    0.000    0.006    0.003 Image.py:343(preinit)
        1    0.000    0.000    0.000    0.000 Image.py:38(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:406(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:423(_getencoder)
        1    0.000    0.000    0.000    0.000 Image.py:447(_E)
        1    0.000    0.000    0.000    0.000 Image.py:482(Image)
       70    0.000    0.000    0.000    0.000 Image.py:496(__init__)
       35    0.000    0.000    0.000    0.000 Image.py:516(_new)
       21    0.000    0.000    0.000    0.000 Image.py:623(__getattr__)
       39    0.000    0.000    0.000    0.000 Image.py:760(load)
        1    0.000    0.000    0.011    0.011 Image.py:805(convert)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
       34    0.000    0.000    0.001    0.000 ImageColor.py:102(getcolor)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
    35/34    0.000    0.000    0.000    0.000 ImageColor.py:24(getrgb)
     1700    0.004    0.000    0.007    0.000 ImageDraw.py:138(_getink)
     1700    0.003    0.000    0.343    0.000 ImageDraw.py:191(ellipse)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:33(<module>)
       17    0.000    0.000    0.000    0.000 ImageDraw.py:345(Draw)
        1    0.000    0.000    0.000    0.000 ImageDraw.py:50(ImageDraw)
       17    0.000    0.000    0.000    0.000 ImageDraw.py:62(__init__)
        1    0.000    0.000    0.009    0.009 ImageFile.py:130(load)
        1    0.000    0.000    0.001    0.001 ImageFile.py:262(load_prepare)
        1    0.000    0.000    0.000    0.000 ImageFile.py:271(load_end)
        1    0.000    0.000    0.000    0.000 ImageFile.py:284(StubImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ImageFile.py:314(Parser)
        1    0.000    0.000    0.012    0.012 ImageFile.py:453(_save)
       10    0.000    0.000    0.000    0.000 ImageFile.py:506(_safe_read)
        2    0.000    0.000    0.000    0.000 ImageFile.py:66(_tilesort)
        1    0.000    0.000    0.000    0.000 ImageFile.py:75(ImageFile)
        1    0.000    0.000    0.000    0.000 ImageFile.py:78(__init__)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:23(ModeDescriptor)
       17    0.000    0.000    0.000    0.000 ImageMode.py:25(__init__)
       34    0.000    0.000    0.000    0.000 ImageMode.py:38(getmode)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:123(COM)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:133(SOF)
        2    0.000    0.000    0.000    0.000 JpegImagePlugin.py:181(DQT)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:274(_accept)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:281(JpegImageFile)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:286(_open)
        1    0.000    0.000    0.001    0.001 JpegImagePlugin.py:35(<module>)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:392(_getmp)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:446(_getmp)
        5    0.000    0.000    0.000    0.000 JpegImagePlugin.py:54(Skip)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:59(APP)
